Date,Open,High,Low,Close,Adjusted_close,Volume
1/5/2017,15.75,15.93,15.48,15.76,15.76,513550
1/6/2017,15.76,15.86,15.49,15.65,15.65,391720
1/9/2017,15.62,15.7,15.28,15.35,15.35,426892
1/10/2017,15.35,15.62,15.34,15.46,15.46,389025
1/11/2017,15.42,15.4567,15.1521,15.33,15.33,446673
1/12/2017,15.32,15.4886,14.99,15.47,15.47,475157
1/13/2017,15.53,16,15.53,15.72,15.72,557806
1/17/2017,15.73,15.98,15.44,15.56,15.56,416218
1/18/2017,15.56,15.63,15.25,15.57,15.57,480378
1/19/2017,15.57,15.6999,15.13,15.18,15.18,404009
1/20/2017,15.17,15.315,15,15.29,15.29,518593
1/23/2017,15.33,15.52,15.14,15.39,15.39,403179
1/24/2017,15.44,15.825,15.4,15.8,15.8,489716
1/25/2017,15.9,16.17,15.66,15.72,15.72,542266
1/26/2017,15.71,15.88,15.48,15.65,15.65,405989
1/27/2017,15.61,15.61,15.38,15.57,15.57,354366
1/30/2017,15.52,15.72,15.26,15.56,15.56,443045
1/31/2017,15.5,15.71,15.35,15.66,15.66,409265
2/1/2017,15.64,15.73,15.53,15.58,15.58,373724
2/2/2017,15.64,15.69,15.41,15.42,15.42,328079
2/3/2017,15.48,15.795,15.38,15.79,15.79,382615
2/6/2017,15.75,16.05,15.68,15.77,15.77,600157
2/7/2017,15.74,15.96,15.6,15.66,15.66,246930
2/8/2017,15.62,15.862,15.47,15.73,15.73,368406
2/9/2017,15.81,16.2,15.7,16.09,16.09,456556
2/10/2017,16.18,16.37,16.05,16.29,16.29,395258
2/13/2017,16.41,16.43,16.01,16.03,16.03,353564
2/14/2017,15.9,16.0999,15.8,15.94,15.94,444069
2/15/2017,15.9,16.0236,15.74,15.89,15.89,597170
2/16/2017,15.91,15.97,15.4,15.66,15.66,844809
2/17/2017,15.64,15.7,15.25,15.36,15.36,948288
2/21/2017,16.88,18.9,16.45,17.98,17.98,6049005
2/22/2017,18.19,18.35,17.72,18.19,18.19,2662805
2/23/2017,18.23,18.35,17.86,17.91,17.91,1477775
2/24/2017,17.8,17.9,17.335,17.39,17.39,1303548
