Date,Open,High,Low,Close,Adjusted_close,Volume
1/7/2019,2.17,2.32,2.145,2.29,2.29,1410392
1/8/2019,2.31,2.37,2.182,2.22,2.22,1192141
1/9/2019,2.19,2.25,2.18,2.19,2.19,821013
1/10/2019,2.2,2.22,2.08,2.2,2.2,390843
1/11/2019,2.2,2.24,2.14,2.21,2.21,303245
1/14/2019,2.18,2.23,2.1,2.15,2.15,212220
1/15/2019,2.16,2.22,2.08,2.15,2.15,421665
1/16/2019,2.18,2.19,1.94,2.05,2.05,517522
1/17/2019,2.03,2.12,2.03,2.1,2.1,364952
1/18/2019,2.12,2.21,2.08,2.12,2.12,390041
1/22/2019,2.12,2.16,2.07,2.12,2.12,510631
1/23/2019,2.14,2.19,2.12,2.18,2.18,444186
1/24/2019,2.18,2.19,2.09,2.13,2.13,283333
1/25/2019,2.13,2.26,2.13,2.19,2.19,819793
1/28/2019,2.18,2.21,2.0925,2.15,2.15,332078
1/29/2019,2.13,2.167,2.1,2.13,2.13,361061
1/30/2019,2.13,2.33,2.13,2.27,2.27,778764
1/31/2019,2.3,2.36,2.16,2.2,2.2,1127897
2/1/2019,2.22,2.31,2.15,2.21,2.21,963808
2/4/2019,2.21,2.34,2.17,2.18,2.18,846481
2/5/2019,2.2,2.28,2.1,2.19,2.19,1001378
2/6/2019,2.35,2.48,2.27,2.44,2.44,3068045
2/7/2019,2.45,2.61,2.4,2.51,2.51,2113846
2/8/2019,2.5,2.59,2.48,2.54,2.54,935008
2/11/2019,2.59,2.78,2.59,2.7,2.7,2115315
2/12/2019,2.75,2.95,2.7,2.92,2.92,2885459
2/13/2019,2.99,3.01,2.81,2.89,2.89,2250149
2/14/2019,2.88,3.08,2.87,2.99,2.99,2023215
2/15/2019,3,3.23,3,3.05,3.05,3186360
2/19/2019,3.08,3.1399,2.78,2.88,2.88,2544136
2/20/2019,2.91,2.9155,2.79,2.85,2.85,1133501
2/21/2019,2.81,2.98,2.65,2.98,2.98,1627029
2/22/2019,2.99,3.25,2.95,3.2,3.2,2054999
2/25/2019,3.21,3.35,3.12,3.12,3.12,1518175
2/26/2019,3.12,3.3,3.005,3.2,3.2,1991764
2/27/2019,3.18,3.28,3.11,3.2,3.2,922780
2/28/2019,3.17,3.225,3.13,3.18,3.18,692261
3/1/2019,3.19,3.32,3.16,3.27,3.27,1313495
3/4/2019,3.35,3.44,3.14,3.26,3.26,1819916
3/5/2019,3.28,3.305,3.19,3.28,3.28,666135
3/6/2019,3.28,3.33,3.15,3.21,3.21,878450
3/7/2019,3.21,3.2628,3.13,3.15,3.15,552403
3/8/2019,3.13,3.1765,3.038,3.1,3.1,800306
3/11/2019,3.12,3.15,3.05,3.05,3.05,690377
3/12/2019,3.06,3.19,3.035,3.15,3.15,642548
3/13/2019,3.15,3.25,3.11,3.11,3.11,1067789
3/14/2019,3.13,3.22,3.08,3.15,3.15,1106985
3/15/2019,3.16,3.19,3.02,3.06,3.06,1160075
3/18/2019,3.15,3.46,3.1,3.39,3.39,2242029
3/19/2019,3.5,3.97,3.48,3.55,3.55,4513813
3/20/2019,3.63,3.67,3.5,3.62,3.62,1716586
3/21/2019,3.62,3.8196,3.62,3.77,3.77,1378505
3/22/2019,3.77,3.78,3.45,3.6,3.6,1195799
3/25/2019,3.59,3.59,3.07,3.09,3.09,3180645
3/26/2019,3.17,3.42,3.1678,3.22,3.22,1841221
3/27/2019,3.25,3.36,3.16,3.29,3.29,911853
3/28/2019,3.33,3.38,3.26,3.35,3.35,749171
3/29/2019,3.38,3.52,3.33,3.5,3.5,2492332
4/1/2019,3.56,3.69,3.55,3.56,3.56,1430607
4/2/2019,3.57,3.75,3.57,3.72,3.72,1402901
4/3/2019,3.76,3.85,3.61,3.65,3.65,1371061
4/4/2019,3.67,3.78,3.475,3.63,3.63,1382756
4/5/2019,3.6,3.73,3.55,3.57,3.57,850979
4/8/2019,3.64,3.9,3.55,3.85,3.85,2232423
4/9/2019,3.81,3.875,3.73,3.74,3.74,926780
4/10/2019,3.63,3.72,3.55,3.66,3.66,853716
4/11/2019,3.64,3.695,3.51,3.56,3.56,879745
4/12/2019,3.54,3.6,3.4,3.49,3.49,902128
4/15/2019,3.46,3.56,3.3,3.5,3.5,971872
4/16/2019,3.44,3.67,3.431,3.57,3.57,1180592
4/17/2019,3.62,3.63,3.45,3.5,3.5,662124
4/18/2019,3.5,3.55,3.4,3.43,3.43,577637
4/22/2019,3.43,3.578,3.43,3.57,3.57,471434
4/23/2019,3.57,3.66,3.51,3.56,3.56,628294
4/24/2019,3.56,3.64,3.52,3.59,3.59,459703
4/25/2019,3.59,3.62,3.52,3.57,3.57,348269
4/26/2019,3.55,3.64,3.5301,3.6,3.6,618099
4/29/2019,3.64,3.75,3.6001,3.65,3.65,1116772
4/30/2019,3.65,3.8,3.59,3.78,3.78,1089450
5/1/2019,3.8,4.04,3.76,3.97,3.97,2267467
5/2/2019,4.01,4.12,3.8,3.89,3.89,1215006
5/3/2019,3.93,4.18,3.9,4.07,4.07,1253189
5/6/2019,3.96,4.13,3.85,4.06,4.06,1033573
5/7/2019,4.05,4.06,3.86,3.95,3.95,780408
5/8/2019,3.93,3.99,3.84,3.89,3.89,720042
5/9/2019,3.84,3.89,3.65,3.8,3.8,888572
5/10/2019,3.75,3.89,3.65,3.82,3.82,878120
5/13/2019,3.73,3.79,3.65,3.75,3.75,636573
5/14/2019,3.77,3.943,3.74,3.87,3.87,1247024
5/15/2019,3.87,4.06,3.87,4.06,4.06,948786
5/16/2019,4.06,4.12,4.06,4.09,4.09,698152
5/17/2019,4.09,4.0972,3.93,3.96,3.96,577717
5/20/2019,3.93,3.94,3.82,3.9,3.9,476434
5/21/2019,3.93,4.005,3.85,3.88,3.88,1007209
5/22/2019,3.85,3.9413,3.84,3.9,3.9,593630
5/23/2019,3.86,3.9576,3.81,3.94,3.94,616107
5/24/2019,3.98,4.02,3.8168,3.86,3.86,693535
5/28/2019,3.84,3.935,3.82,3.84,3.84,584835
5/29/2019,3.82,3.84,3.62,3.67,3.67,1230459
5/30/2019,3.66,3.83,3.64,3.79,3.79,1075030
5/31/2019,3.73,3.87,3.64,3.77,3.77,698976
6/3/2019,3.81,3.85,3.63,3.68,3.68,1144298
6/4/2019,4.02,4.4,3.95,4.29,4.29,6415664
6/5/2019,4.4,4.67,4.29,4.64,4.64,3853941
6/6/2019,4.6,4.695,4.39,4.64,4.64,1910177
6/7/2019,4.74,4.93,4.666,4.75,4.75,2172540
6/10/2019,4.79,4.96,4.39,4.41,4.41,2161300
6/11/2019,4.64,4.66,4.3615,4.4,4.4,1202252
6/12/2019,4.39,4.67,4.38,4.64,4.64,917179
6/13/2019,4.65,4.72,4.49,4.69,4.69,1152483
6/14/2019,4.68,4.81,4.55,4.72,4.72,1194812
6/17/2019,4.73,4.81,4.48,4.5,4.5,1237283
6/18/2019,4.58,4.685,4.455,4.51,4.51,1031479
6/19/2019,4.57,4.85,4.52,4.73,4.73,1751625
6/20/2019,4.82,4.835,4.6,4.66,4.66,1215450
6/21/2019,4.64,4.74,4.47,4.73,4.73,1079765
