Date,Open,High,Low,Close,Adjusted_close,Volume
6/30/2006,1.8,2,1.8,2,2,3504.5
7/6/2006,2.1,2.2,2.1,2.2,2.2,4083.5
7/11/2006,2.2,2.5,2.2,2.5,2.5,5790.5
7/20/2006,2.2,2.8,2.1,2.7,2.7,9867
7/24/2006,2.5,4,2.5,4,4,16265.5
7/31/2006,3.9,6.6,3.9,6.6,6.6,4649
8/8/2006,5,8,5,8,8,563
8/14/2006,6,28.75,6,9.9,9.9,2378.5
8/23/2006,8.75,8.75,6.25,6.25,6.25,6299.4
8/28/2006,6.25,6.25,4.5,5,5,7699.6
9/5/2006,4.75,5.25,4.75,5.1,5.1,815.2
9/11/2006,5.5,6.25,5.5,6.25,6.25,2257.2
9/20/2006,6.25,6.25,6,6,6,860
9/25/2006,6,7.5,6,7.5,7.5,13910.2
10/3/2006,7,7,6.25,6.25,6.25,740.4
10/10/2006,6.25,7.5,6.25,7.5,7.5,3541.8
10/16/2006,7.5,8.75,6.5,8.75,8.75,1585.4
10/23/2006,7.5,8.4,6.75,8.4,8.4,886
10/31/2006,7.5,7.5,6.75,7.5,7.5,1131
11/7/2006,6.75,6.75,6.75,6.75,6.75,601
11/13/2006,6.75,7.75,6.75,7.5,7.5,4318.4
11/21/2006,7.5,7.55,7.5,7.55,7.55,5322
11/27/2006,8,8.75,8,8.75,8.75,954.4
12/5/2006,8,8,8,8,8,22.4
12/11/2006,8,8,8,8,8,40
12/18/2006,8,8,7.5,7.5,7.5,3706.2
12/26/2006,9.5,10.25,7.5,10.25,10.25,1021.6
1/3/2007,10.25,10.25,10,10,10,90
1/17/2007,12.25,12.5,8.75,10,10,937.4
1/22/2007,8.75,10,8.75,10,10,774.4
1/29/2007,10,10.75,10,10,10,3780
2/5/2007,8.75,9,8.75,9,9,1845.4
2/13/2007,8.75,10.25,8.75,10.25,10.25,8323.8
2/20/2007,10,10,9.5,9.5,9.5,522.4
2/26/2007,10,10.5,10,10.5,10.5,15160
3/6/2007,10,10,8.75,8.75,8.75,863.4
3/14/2007,10,10,10,10,10,20200
3/20/2007,9.5,10,8.75,10,10,374
3/27/2007,10.5,11.25,8.75,11,11,8151.6
4/9/2007,10.25,10.25,10,10,10,618.2
4/18/2007,9.5,10.75,9.5,10.75,10.75,447
4/24/2007,10.25,10.25,9.5,10.25,10.25,5205.8
5/8/2007,10.5,10.5,10.5,10.5,10.5,700
5/16/2007,10,10,9.5,9.75,9.75,423.8
5/21/2007,9.5,12.5,9.5,12.5,12.5,3733.4
5/31/2007,10.75,13,10.75,12.5,12.5,1689.8
6/4/2007,11.5,13.75,10.25,13.75,13.75,1872.8
6/12/2007,11.25,12.75,11.25,12.75,12.75,1787
6/19/2007,11.5,12,11,12,12,4400
6/25/2007,11.25,15,11.25,15,15,5284.6
7/6/2007,11.75,11.75,11.75,11.75,11.75,28
7/10/2007,15,15,14.5,14.5,14.5,1252.4
7/18/2007,15.5,15.5,13,13,13,1559
7/23/2007,13,15.5,13,13.75,13.75,2666
8/9/2007,13.75,15,13.75,15,15,226.6
8/15/2007,13.75,17.5,13,17.5,17.5,840
8/20/2007,12.5,17.5,11.25,17.5,17.5,4815.8
8/27/2007,17.5,18.75,12.5,18.25,18.25,8160.8
9/5/2007,17.5,17.55,17.5,17.5,17.5,2301.4
9/10/2007,17.5,20,16.25,16.25,16.25,4226.2
9/17/2007,16.25,17.5,15.25,15.75,15.75,18840
9/24/2007,15.75,17.55,15.75,17.4,17.4,30128
10/1/2007,17.25,18.7,16.5,17,17,3660
10/8/2007,16.75,17.5,16.75,17.5,17.5,1778.4
10/15/2007,16.75,17.5,12.5,12.5,12.5,7641
10/22/2007,13.5,15,12,15,15,2300
10/29/2007,16,16,13.25,13.25,13.25,8278.4
11/7/2007,13.75,13.75,13.25,13.25,13.25,6230
11/14/2007,12.5,13.75,12.5,13.75,13.75,916.4
11/20/2007,15,16.25,12.5,16.25,16.25,1947.4
11/26/2007,17.5,17.5,11.5,15.5,15.5,19749.8
12/3/2007,15,17.5,15,16.25,16.25,2340.8
12/10/2007,15,19,15,18.75,18.75,1958.4
12/19/2007,18.75,20.05,18.75,20.05,20.05,1831
12/26/2007,20,21.25,19.95,21.25,21.25,3680
12/31/2007,22.5,23.5,21.25,21.75,21.75,1602
1/14/2008,21.25,21.25,18.75,21.25,21.25,554.2
1/25/2008,22.5,22.5,22.5,22.5,22.5,300
2/1/2008,20,20,20,20,20,138
2/11/2008,20,29.5,18.75,29.5,29.5,1331.8
2/20/2008,29.5,30,26.25,28.75,28.75,1340
2/25/2008,26.25,26.25,22.5,22.5,22.5,1650
3/3/2008,21.25,26.25,12,21.25,21.25,3533
3/11/2008,21.25,26.25,21.25,26.25,26.25,840
3/17/2008,28.75,28.75,20,25,25,9583
3/25/2008,27.5,32.5,27.5,32.5,32.5,1816
3/31/2008,32.5,32.5,26.25,26.25,26.25,4020
4/7/2008,26.25,27.5,25,27.5,27.5,4397
4/14/2008,27.5,27.5,23.75,26.25,26.25,1685
4/21/2008,23.85,25.25,23.75,25,25,1060
