Date,Open,High,Low,Close,Adjusted_close,Volume
3/17/1980,37.007,38.131,36.754,37.128,0.3656,612905
3/24/1980,36.258,40.257,36.258,39.882,0.3925,323804
3/31/1980,41.502,42.009,39.498,42.009,0.4136,192404
4/7/1980,41.128,41.756,40.753,40.875,0.4022,361204
4/14/1980,40.5,40.875,40.004,40.379,0.3979,234505
4/21/1980,40.257,44.003,40.004,42.252,0.4159,545104
4/28/1980,41.381,44.003,41.128,43.882,0.4319,391503
5/5/1980,44.884,45.127,43.507,44.003,0.4332,529805
5/12/1980,44.499,47,43.507,46.757,0.46,573803
5/19/1980,46.879,47.881,46.383,47.881,0.471,515703
5/27/1980,47.132,47.881,45.876,46.879,0.4614,456203
6/2/1980,46.757,47.75,46.008,47.132,0.466,480803
6/9/1980,47.881,50.007,47.375,49.501,0.4897,370405
6/16/1980,50.382,51.506,48.124,48.873,0.4832,632504
6/23/1980,49.501,50.25,48.63,49.127,0.4856,338405
6/30/1980,48.256,48.873,47.75,48.256,0.4774,251204
7/7/1980,48.499,49.258,47.628,48.003,0.4746,372404
7/14/1980,49.127,50.25,47.881,48.377,0.4783,592703
7/21/1980,47.253,48.377,44.499,45.249,0.4493,505302
7/28/1980,45.502,48.124,45.127,45.755,0.4539,530405
8/4/1980,45.755,49.501,45.006,49.005,0.4864,991502
8/11/1980,51.131,52.002,49.501,50.25,0.4989,793404
8/18/1980,49.38,50.504,47.75,49.501,0.4915,381602
8/25/1980,49.754,49.876,47.507,47.881,0.4754,271203
9/2/1980,48.499,49.623,47,47.375,0.4696,246601
9/8/1980,46.879,47.75,46.251,46.879,0.4654,324103
9/15/1980,47.75,51,47,49.876,0.495,402604
9/22/1980,50.25,51.131,47.628,47.75,0.474,371404
9/29/1980,47.75,48.256,46.626,48.003,0.4766,379101
10/6/1980,47.881,48.63,46.13,46.13,0.4584,348204
10/13/1980,46.757,47.507,46.008,46.13,0.4584,565205
10/20/1980,46.13,46.626,43.75,44.256,0.4391,441305
10/27/1980,44.499,44.753,43.507,44.256,0.4416,357905
11/3/1980,44.884,46.626,44.003,44.378,0.4428,361504
11/10/1980,44.003,44.753,43.376,43.75,0.4362,814904
11/17/1980,43.882,47.75,43.75,47,0.4684,1091305
11/24/1980,47,47.253,45.502,45.876,0.4578,456502
12/1/1980,44.499,46.626,43.75,46.383,0.462,574005
12/8/1980,45.38,46.383,44.631,45.876,0.4578,494105
12/15/1980,45.755,46.008,44.378,44.753,0.4463,664403
12/22/1980,46.251,46.626,44.631,46.383,0.462,224703
